Customer_ID,Title,First_Name,Middle_Name,Last_Name,Suffix,Company_Name,Sales_Person,Email_Address,Phone,Gender,timestamp
1,Mr.,Orlando,N.,Gee,,A Bike Store,adventure-works\\pamela0,orlando0@adventure-works.com,245-555-0173,M,21-03-2023
2,Mr.,Keith,,Harris,,Progressive Sports,adventure-works\\david8,keith0@adventure-works.com,170-555-0127,M,22-03-2023
3,Ms.,Donna,F.,Carreras,,Advanced Bike Components,adventure-works\\jillian0,donna0@adventure-works.com,279-555-0130,M,23-03-2023
4,Ms.,Janet,M.,Gates,,Modular Cycle Systems,adventure-works\\jillian0,janet1@adventure-works.com,710-555-0173,M,24-03-2023
5,Mr.,Lucy,,Harrington,,Metropolitan Sports Supply,adventure-works\\shu0,lucy0@adventure-works.com,828-555-0186,M,25-03-2023
6,Ms.,Rosmarie,J.,Carroll,,Aerobic Exercise Company,adventure-works\\linda3,rosmarie0@adventure-works.com,244-555-0112,M,26-03-2023
7,Mr.,Dominic,P.,Gash,,Associated Bikes,adventure-works\\shu0,dominic0@adventure-works.com,192-555-0173,M,
10,Ms.,Kathleen,M.,Smith,,Rural Cycle Emporium,adventure-works\\josé1,kathleen0@adventure-works.com,150-555-0127,M,28-03-2023
11,Ms.,Katherine,,Harding,,Sharp Bikes,adventure-works\\josé1,katherine0@adventure-works.com,926-555-0159,M,29-03-2023
12,Mr.,Johnny,A.,Caprio,Jr.,Bikes and Motorbikes,adventure-works\\garrett1,johnny0@adventure-works.com,112-555-0191,F,30-03-2023
16,Mr.,Christopher,R.,Beck,Jr.,Bulk Discount Store,adventure-works\\jae0,christopher1@adventure-works.com,1 (11) 500 555-0132,M,31-03-2023
18,Mr.,David,J.,Liu,,Catalog Store,adventure-works\\michael9,david20@adventure-works.com,440-555-0132,F,01-04-2023
19,Mr.,John,A.,Beaver,,Center Cycle Shop,adventure-works\\pamela0,john8@adventure-works.com,521-555-0195,M,02-04-2023
20,Ms.,Jean,P.,Handley,,Central Discount Store,adventure-works\\david8,jean1@adventure-works.com,582-555-0113,M,03-04-2023
21,Ms.,Jinghao,,Liu,,Chic Department Stores,adventure-works\\jillian0,jinghao1@adventure-works.com,928-555-0116,M,04-04-2023
22,Ms.,Linda,E.,Burnett,,Travel Systems,adventure-works\\jillian0,linda4@adventure-works.com,121-555-0121,M,
23,Mr.,Kerim,,Hanif,,Bike World,adventure-works\\shu0,kerim0@adventure-works.com,216-555-0122,M,06-04-2023
24,Mr.,Kevin,,Liu,,Eastside Department Store,adventure-works\\linda3,kevin5@adventure-works.com,926-555-0164,M,07-04-2023
25,Mr.,Donald,L.,Blanton,,Coalition Bike Company,adventure-works\\shu0,donald0@adventure-works.com,357-555-0161,M,08-04-2023
28,Ms.,Jackie,E.,Blackwell,,Commuter Bicycle Store,adventure-works\\josé1,jackie0@adventure-works.com,972-555-0163,F,09-04-2023
29,Mr.,Bryan,,Hamilton,,Cross-Country Riding Supplies,adventure-works\\josé1,bryan2@adventure-works.com,344-555-0144,F,10-04-2023
30,Mr.,Todd,R.,Logan,,Cycle Merchants,adventure-works\\garrett1,todd0@adventure-works.com,783-555-0110,F,11-04-2023
34,Ms.,Barbara,J.,German,,Cycles Wholesaler & Mfg.,adventure-works\\jae0,barbara4@adventure-works.com,1 (11) 500 555-0181,F,12-04-2023
37,Mr.,Jim,,Geist,,Two Bike Shops,adventure-works\\pamela0,jim1@adventure-works.com,724-555-0161,F,13-04-2023
38,Ms.,Betty,M.,Haines,,Finer Mart,adventure-works\\david8,betty0@adventure-works.com,867-555-0114,F,14-04-2023
39,Ms.,Sharon,J.,Looney,,Fitness Hotel,adventure-works\\jillian0,sharon2@adventure-works.com,377-555-0132,F,15-04-2023
40,Mr.,Darren,,Gehring,,Journey Sporting Goods,adventure-works\\jillian0,darren0@adventure-works.com,417-555-0182,F,16-04-2023
41,Ms.,Erin,M.,Hagens,,Distant Inn,adventure-works\\shu0,erin1@adventure-works.com,244-555-0127,F,17-04-2023
42,Mr.,Jeremy,,Los,,Healthy Activity Store,adventure-works\\linda3,jeremy0@adventure-works.com,911-555-0165,F,18-04-2023
43,Ms.,Elsa,,Leavitt,,Frugal Bike Shop,adventure-works\\shu0,elsa0@adventure-works.com,482-555-0174,F,19-04-2023
46,Mr.,David,O,Lawrence,,Gear-Shift Bikes Limited,adventure-works\\josé1,david19@adventure-works.com,653-555-0159,F,20-04-2023
47,Ms.,Hattie,J.,Haemon,,Greater Bike Store,adventure-works\\josé1,hattie0@adventure-works.com,141-555-0172,F,21-04-2023
48,Ms.,Anita,R.,Lucerne,,Grand Industries,adventure-works\\garrett1,anita0@adventure-works.com,164-555-0118,F,22-04-2023
52,Ms.,Rebecca,,Laszlo,,Instruments and Parts Company,adventure-works\\jae0,rebecca2@adventure-works.com,1 (11) 500 555-0155,F,23-04-2023
55,Mr.,Eric,,Lang,,Kickstands and Accessories Company,adventure-works\\pamela0,eric6@adventure-works.com,932-555-0163,F,24-04-2023
56,Mr.,Brian,,Groth,,Latest Accessories Sales,adventure-works\\david8,brian5@adventure-works.com,461-555-0118,F,25-04-2023
57,Ms.,Judy,R.,Lundahl,,Leading Sales & Repair,adventure-works\\jillian0,judy1@adventure-works.com,260-555-0130,F,
58,Mr.,Peter,,Kurniawan,,Largest Bike Store,adventure-works\\jillian0,peter4@adventure-works.com,436-555-0160,F,27-04-2023
59,Mr.,Douglas,,Groncki,,Locks Company,adventure-works\\shu0,douglas2@adventure-works.com,385-555-0140,F,28-04-2023
60,Mr.,Sean,J.,Lunt,,Main Bicycle Services,adventure-works\\linda3,sean4@adventure-works.com,183-555-0111,F,29-04-2023
61,Mr.,Jeffrey,,Kurtz,,Many Bikes Store,adventure-works\\shu0,jeffrey3@adventure-works.com,452-555-0179,F,30-04-2023
64,Mr.,Vamsi,,Kuppa,,Metal Clearing House,adventure-works\\josé1,vamsi1@adventure-works.com,290-555-0196,F,01-05-2023
65,Ms.,Jane,P.,Greer,,Metro Manufacturing,adventure-works\\josé1,jane2@adventure-works.com,737-555-0163,F,02-05-2023
66,Mr.,Alexander,J.,Deborde,,Neighborhood Store,adventure-works\\garrett1,alexander1@adventure-works.com,394-555-0176,F,03-05-2023
70,Mr.,Deepak,,Kumar,,Outdoor Aerobic Systems Company,adventure-works\\jae0,deepak0@adventure-works.com,1 (11) 500 555-0122,F,04-05-2023
73,Ms.,Margaret,T.,Krupka,,Outdoor Sports Supply,adventure-works\\pamela0,margaret1@adventure-works.com,107-555-0132,F,05-05-2023
74,Mr.,Christopher,M.,Bright,,Parcel Express Delivery Service,adventure-works\\david8,christopher2@adventure-works.com,162-555-0166,F,06-05-2023
75,Ms.,Aidan,,Delaney,,Paint Supply,adventure-works\\jillian0,aidan0@adventure-works.com,358-555-0188,F,07-05-2023
76,Mr.,James,J.,Krow,,Out-of-the-Way Hotels,adventure-works\\jillian0,james11@adventure-works.com,265-555-0190,F,08-05-2023
77,Mr.,Michael,,Brundage,,Mechanical Products Ltd.,adventure-works\\shu0,michael13@adventure-works.com,128-555-0148,F,09-05-2023
78,Mr.,Stefan,,Delmarco,,Preferred Bikes,adventure-works\\linda3,stefan0@adventure-works.com,819-555-0186,F,10-05-2023
79,Mr.,Mitch,,Kennedy,,Reasonable Bicycle Sales,adventure-works\\shu0,mitch0@adventure-works.com,996-555-0192,M,11-05-2023
82,Mr.,James,D.,Kramer,,Refined Department Stores,adventure-works\\josé1,james10@adventure-works.com,814-555-0130,M,12-05-2023
83,Mr.,Eric,J.,Brumfield,,Requisite Part Supply,adventure-works\\josé1,eric3@adventure-works.com,644-555-0114,M,13-05-2023
84,Ms.,Della,F.,Demott Jr,,Rewarding Activities Company,adventure-works\\garrett1,della0@adventure-works.com,752-555-0185,M,14-05-2023
88,Ms.,Pamala,M.,Kotc,,Closest Bicycle Store,adventure-works\\jae0,pamala0@adventure-works.com,1 (11) 500 555-0173,M,15-05-2023
91,Ms.,Joy,R.,Koski,,Scooters and Bikes Store,adventure-works\\pamela0,joy0@adventure-works.com,810-555-0198,M,16-05-2023
92,Ms.,Jovita,A.,Carmody,,Sports Commodities,adventure-works\\david8,jovita0@adventure-works.com,646-555-0137,M,17-05-2023
93,Mr.,Prashanth,,Desai,,Stationary Bikes and Stands,adventure-works\\jillian0,prashanth0@adventure-works.com,138-555-0156,M,18-05-2023
94,Mr.,Scott,,Konersmann,,Specialty Sports Store,adventure-works\\jillian0,scott6@adventure-works.com,556-555-0192,M,19-05-2023
95,Ms.,Jane,N.,Carmichael,,Rural Department Store,adventure-works\\shu0,jane0@adventure-works.com,716-555-0167,M,20-05-2023
96,Ms.,Bonnie,B.,Lepro,,More Bikes!,adventure-works\\linda3,bonnie2@adventure-works.com,354-555-0130,M,21-05-2023
97,Mr.,Eugene,,Kogan,,Mountain Bike Center,adventure-works\\shu0,eugene2@adventure-works.com,136-555-0134,M,22-05-2023
100,Mr.,Kirk,T,King,,Up-To-Date Sports,adventure-works\\josé1,kirk2@adventure-works.com,979-555-0163,M,23-05-2023
101,Mr.,William,J.,Conner,,Urban Sports Emporium,adventure-works\\josé1,william1@adventure-works.com,383-555-0111,M,
102,Ms.,Linda,,Leste,,National Manufacturing,adventure-works\\garrett1,linda7@adventure-works.com,493-555-0134,M,25-05-2023
106,Ms.,Andrea,A.,Thomsen,,West Side Mart,adventure-works\\jae0,andrea1@adventure-works.com,1 (11) 500 555-0120,M,26-05-2023
109,Mr.,Daniel,P.,Thompson,,Travel Sports,adventure-works\\pamela0,daniel2@adventure-works.com,247-555-0197,M,27-05-2023
110,Ms.,Kendra,N.,Thompson,,Vintage Sport Boutique,adventure-works\\david8,kendra0@adventure-works.com,464-555-0188,M,28-05-2023
111,Mr.,Scott,A.,Colvin,,Westside Cycle Store,adventure-works\\jillian0,scott1@adventure-works.com,119-555-0144,M,29-05-2023
112,Ms.,Elsie,L.,Lewin,,Town Industries,adventure-works\\jillian0,elsie0@adventure-works.com,803-555-0116,M,30-05-2023
113,Mr.,Donald,M.,Thompson,,Trendy Department Stores,adventure-works\\shu0,donald1@adventure-works.com,273-555-0111,M,31-05-2023
114,Mr.,John,L.,Colon,,Two Wheels Cycle Store,adventure-works\\linda3,john14@adventure-works.com,397-555-0144,M,01-06-2023
115,Mr.,George,Z.,Li,,Security Racks and Locks Wholesalers,adventure-works\\shu0,george3@adventure-works.com,699-555-0183,M,02-06-2023
118,Mr.,Yale,,Li,,Rapid Bikes,adventure-works\\josé1,yale0@adventure-works.com,316-555-0138,M,03-06-2023
119,Ms.,Phyllis,A.,Thomas,,Red Bicycle Company,adventure-works\\josé1,phyllis2@adventure-works.com,667-555-0112,M,04-06-2023
120,Mr.,Pat,,Coleman,,Machines & Cycles Store,adventure-works\\garrett1,pat2@adventure-works.com,292-555-0128,F,05-06-2023
124,Ms.,Yuhong,,Li,,Nearby Sporting Goods,adventure-works\\jae0,yuhong1@adventure-works.com,1 (11) 500 555-0176,F,06-06-2023
127,Mr.,Joseph,M.,Lique,,Front Sporting Goods,adventure-works\\pamela0,joseph2@adventure-works.com,119-555-0195,F,07-06-2023
128,Ms.,Judy,J.,Thames,,Demand Distributors,adventure-works\\david8,judy3@adventure-works.com,799-555-0118,F,08-06-2023
129,Ms.,Connie,L.,Coffman,,Discount Bicycle Specialists,adventure-works\\jillian0,connie0@adventure-works.com,426-555-0181,F,09-06-2023
130,Mr.,Paulo,H.,Lisboa,,Elite Bikes,adventure-works\\jillian0,paulo0@adventure-works.com,380-555-0116,F,10-06-2023
131,Ms.,Vanessa,J.,Tench,,Eighth Bike Store,adventure-works\\shu0,vanessa0@adventure-works.com,785-555-0163,F,11-06-2023
132,Ms.,Teanna,M.,Cobb,,Another Sporting Goods Company,adventure-works\\linda3,teanna0@adventure-works.com,661-555-0168,F,12-06-2023
133,Mr.,Michael,,Graff,,Commercial Sporting Goods,adventure-works\\shu0,michael16@adventure-works.com,132-555-0150,F,13-06-2023
136,Mr.,Derek,,Graham,,Wholesale Parts,adventure-works\\josé1,derek0@adventure-works.com,674-555-0187,F,14-06-2023
137,,Gytis,M,Barzdukas,,Transportation Options,adventure-works\\josé1,gytis0@adventure-works.com,257-555-0119,F,
138,Ms.,Jane,,Clayton,,South Bike Company,adventure-works\\garrett1,jane1@adventure-works.com,206-555-0195,F,16-06-2023
142,Mr.,Jon,,Grande,,Riding Cycles,adventure-works\\jae0,jon1@adventure-works.com,1 (11) 500 555-0114,F,17-06-2023
145,Mr.,Ted,,Bremer,,Raw Materials Inc,adventure-works\\pamela0,ted0@adventure-works.com,962-555-0166,F,18-06-2023
146,Mr.,Richard,,Bready,,Latest Sports Equipment,adventure-works\\david8,richard1@adventure-works.com,340-555-0131,F,19-06-2023
147,Ms.,Alice,,Clark,,Local Hardware Factory,adventure-works\\jillian0,alice1@adventure-works.com,221-555-0141,F,20-06-2023
148,Mr.,Alan,,Brewer,,Lots of Bikes Storehouse,adventure-works\\jillian0,alan1@adventure-works.com,494-555-0134,F,21-06-2023
149,Mr.,Cornelius,L.,Brandon,,Initial Bike Company,adventure-works\\shu0,cornelius0@adventure-works.com,229-555-0114,F,22-06-2023
150,Ms.,Jill,J.,Christie,,Fleet Bikes,adventure-works\\linda3,jill1@adventure-works.com,927-555-0198,F,23-06-2023
151,Mr.,Walter,J.,Brian,IV,Futuristic Bikes,adventure-works\\shu0,walter0@adventure-works.com,163-555-0155,F,24-06-2023
154,Mr.,Carlton,M.,Carlisle,,Camping and Sports Store,adventure-works\\josé1,carlton0@adventure-works.com,193-555-0116,F,25-06-2023
155,Mr.,Joseph,N.,Castellucio,,Corner Bicycle Supply,adventure-works\\josé1,joseph1@adventure-works.com,180-555-0114,F,26-06-2023
156,Mr.,Lester,J.,Bowman,Sr.,Metal Processing Company,adventure-works\\garrett1,lester0@adventure-works.com,844-555-0112,F,27-06-2023
160,Ms.,Brigid,F.,Cavendish,,Vigorous Sports Store,adventure-works\\jae0,brigid0@adventure-works.com,1 (11) 500 555-0178,F,28-06-2023
163,Mr.,Andrew,,Cencini,,Sports Merchandise,adventure-works\\pamela0,andrew2@adventure-works.com,644-555-0111,F,29-06-2023
164,Ms.,Cindy,M.,Dodd,,Suburban Cycle Shop,adventure-works\\david8,cindy0@adventure-works.com,706-555-0140,F,30-06-2023
165,Mr.,Randall,,Boseman,,Third Bike Store,adventure-works\\jillian0,randall0@adventure-works.com,383-555-0117,F,01-07-2023
166,Ms.,Stacey,M.,Cereghino,,Fitness Toy Store,adventure-works\\jillian0,stacey0@adventure-works.com,351-555-0131,F,02-07-2023
167,Mr.,Blaine,,Dockter,,Farthermost Bike Shop,adventure-works\\shu0,blaine0@adventure-works.com,156-555-0187,F,03-07-2023
168,Sr.,Luis,,Bonifaz,,Economy Bikes Company,adventure-works\\linda3,luis0@adventure-works.com,688-555-0113,F,04-07-2023
169,Ms.,Brenda,,Diaz,,Downtown Hotel,adventure-works\\shu0,brenda2@adventure-works.com,147-555-0192,F,05-07-2023
172,Ms.,Gabriele,,Dickmann,,Certified Sports Supply,adventure-works\\josé1,gabriele0@adventure-works.com,835-555-0116,F,06-07-2023
173,Mr.,Rudolph,J.,Dillon,Sr.,Sundry Sporting Goods,adventure-works\\josé1,rudolph0@adventure-works.com,722-555-0169,F,07-07-2023
174,Mr.,Michael,L.,Bohling,,Toy Manufacturing Inc,adventure-works\\garrett1,michael12@adventure-works.com,838-555-0147,F,08-07-2023
178,Mr.,Dick,,Dievendorff,,Rampart Amusement Company,adventure-works\\jae0,dick1@adventure-works.com,1 (11) 500 555-0193,F,09-07-2023
180,Ms.,Nicky,E.,Chesnut,,Full-Service Bike Store,adventure-works\\michael9,nicky0@adventure-works.com,264-555-0164,F,10-07-2023
181,Mr.,Michael,J.,Lee,,Family Entertainment Center,adventure-works\\pamela0,michael18@adventure-works.com,396-555-0139,F,11-07-2023
182,Mr.,Stanley,A.,Alan,Jr.,Another Bicycle Company,adventure-works\\david8,stanley0@adventure-works.com,156-555-0126,F,12-07-2023
183,Mr.,Yao-Qiang,,Cheng,,This Area Sporting Goods,adventure-works\\jillian0,yao-qiang0@adventure-works.com,344-555-0181,F,13-07-2023
